1, private, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
25, private, terralith:alpha_islands_winter, CREATURE, minecraft:cow, 8, 4, 4
26, private, terralith:alpha_islands_winter, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
27, forest, terralith:alpine_grove, MONSTER, minecraft:spider, 80, 4, 4
28, forest, terralith:alpine_grove, MONSTER, minecraft:zombie, 80, 4, 4
29, forest, terralith:alpine_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
30, forest, terralith:alpine_grove, MONSTER, minecraft:skeleton, 80, 4, 4
31, forest, terralith:alpine_grove, MONSTER, minecraft:slime, 80, 4, 4
32, forest, terralith:alpine_grove, MONSTER, minecraft:enderman, 10, 1, 4
33, forest, terralith:alpine_grove, MONSTER, minecraft:witch, 5, 1, 1
34, forest, terralith:alpine_grove, MONSTER, elementalcreepers:cookie_creeper, 5, 1, 2
35, forest, terralith:alpine_grove, MONSTER, elementalcreepers:dark_creeper, 12, 1, 1
36, forest, terralith:alpine_grove, MONSTER, elementalcreepers:earth_creeper, 15, 1, 1
37, forest, terralith:alpine_grove, MONSTER, elementalcreepers:electric_creeper, 7, 1, 1
38, forest, terralith:alpine_grove, MONSTER, elementalcreepers:firework_creeper, 5, 1, 1
39, forest, terralith:alpine_grove, MONSTER, graveyard:ghoul, 25, 2, 5
40, forest, terralith:alpine_grove, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
41, forest, terralith:alpine_grove, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
42, forest, terralith:alpine_grove, MONSTER, elementalcreepers:illusion_creeper, 10, 1, 1
43, forest, terralith:alpine_grove, MONSTER, elementalcreepers:light_creeper, 20, 1, 1
44, forest, terralith:alpine_grove, MONSTER, graveyard:nightmare, 10, 1, 1
45, forest, terralith:alpine_grove, MONSTER, graveyard:revenant, 25, 5, 8
46, forest, terralith:alpine_grove, MONSTER, elementalcreepers:reverse_creeper, 10, 1, 1
47, forest, terralith:alpine_grove, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
48, forest, terralith:alpine_grove, MONSTER, weeping_angels:weeping_angel, 8, 1, 4
49, forest, terralith:alpine_grove, CREATURE, minecraft:sheep, 12, 8, 8
50, forest, terralith:alpine_grove, CREATURE, minecraft:pig, 10, 8, 8
51, forest, terralith:alpine_grove, CREATURE, minecraft:chicken, 10, 8, 8
52, forest, terralith:alpine_grove, CREATURE, minecraft:cow, 8, 8, 8
53, forest, terralith:alpine_grove, CREATURE, minecraft:wolf, 8, 4, 4
54, forest, terralith:alpine_grove, CREATURE, minecraft:rabbit, 5, 2, 3
55, forest, terralith:alpine_grove, CREATURE, minecraft:fox, 8, 2, 4
56, forest, terralith:alpine_grove, CREATURE, meadow:brown_bear, 5, 2, 3
57, forest, terralith:alpine_grove, CREATURE, adventurez:deer, 6, 2, 3
58, forest, terralith:alpine_grove, CREATURE, meadow:wooly_cow, 10, 2, 3
59, forest, terralith:alpine_grove, AMBIENT, minecraft:bat, 10, 8, 8
60, forest, terralith:alpine_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
61, forest, terralith:alpine_grove, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
62, private, terralith:alpine_highlands, MONSTER, minecraft:spider, 80, 4, 4
63, private, terralith:alpine_highlands, MONSTER, minecraft:zombie, 80, 4, 4
64, private, terralith:alpine_highlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
65, private, terralith:alpine_highlands, MONSTER, minecraft:skeleton, 80, 4, 4
66, private, terralith:alpine_highlands, MONSTER, minecraft:creeper, 80, 4, 4
67, private, terralith:alpine_highlands, MONSTER, minecraft:slime, 80, 4, 4
68, private, terralith:alpine_highlands, MONSTER, minecraft:enderman, 10, 1, 4
69, private, terralith:alpine_highlands, MONSTER, minecraft:witch, 5, 1, 1
70, private, terralith:alpine_highlands, MONSTER, graveyard:revenant, 25, 5, 8
71, private, terralith:alpine_highlands, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
72, private, terralith:alpine_highlands, CREATURE, minecraft:sheep, 12, 8, 8
73, private, terralith:alpine_highlands, CREATURE, minecraft:pig, 10, 8, 8
74, private, terralith:alpine_highlands, CREATURE, minecraft:chicken, 10, 8, 8
75, private, terralith:alpine_highlands, CREATURE, minecraft:cow, 8, 8, 8
76, private, terralith:alpine_highlands, CREATURE, minecraft:horse, 5, 2, 6
77, private, terralith:alpine_highlands, CREATURE, minecraft:donkey, 5, 1, 3
78, private, terralith:alpine_highlands, AMBIENT, minecraft:bat, 10, 8, 8
79, private, terralith:alpine_highlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
80, private, terralith:alpine_highlands, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
81, private, betterend:amber_land, MONSTER, minecraft:enderman, 50, 1, 4
82, private, betterend:amber_land, MONSTER, betterend:end_slime, 30, 1, 2
83, private, betterend:amber_land, MONSTER, adventurez:enderwarthog, 5, 1, 1
84, private, betterend:amber_land, CREATURE, adventurez:ender_whale, 5, 1, 1
85, private, betterend:amber_land, AMBIENT, clutter:echofin, 5, 3, 7
86, private, betterend:amber_land, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
87, jungle, terralith:amethyst_canyon, MONSTER, minecraft:spider, 80, 4, 4
88, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie, 80, 4, 4
89, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie_villager, 5, 1, 1
90, jungle, terralith:amethyst_canyon, MONSTER, minecraft:skeleton, 80, 4, 4
91, jungle, terralith:amethyst_canyon, MONSTER, minecraft:slime, 80, 4, 4
92, jungle, terralith:amethyst_canyon, MONSTER, minecraft:enderman, 10, 1, 4
93, jungle, terralith:amethyst_canyon, MONSTER, minecraft:witch, 5, 1, 1
94, jungle, terralith:amethyst_canyon, MONSTER, minecraft:ocelot, 5, 1, 3
95, jungle, terralith:amethyst_canyon, MONSTER, elementalcreepers:cookie_creeper, 5, 1, 2
96, jungle, terralith:amethyst_canyon, MONSTER, elementalcreepers:dark_creeper, 12, 1, 1
97, jungle, terralith:amethyst_canyon, MONSTER, elementalcreepers:earth_creeper, 15, 1, 1
98, jungle, terralith:amethyst_canyon, MONSTER, elementalcreepers:electric_creeper, 7, 1, 1
99, jungle, terralith:amethyst_canyon, MONSTER, elementalcreepers:firework_creeper, 5, 1, 1
100, jungle, terralith:amethyst_canyon, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
101, jungle, terralith:amethyst_canyon, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
102, jungle, terralith:amethyst_canyon, MONSTER, elementalcreepers:illusion_creeper, 10, 1, 1
103, jungle, terralith:amethyst_canyon, MONSTER, elementalcreepers:light_creeper, 20, 1, 1
104, jungle, terralith:amethyst_canyon, MONSTER, elementalcreepers:reverse_creeper, 10, 1, 1
105, jungle, terralith:amethyst_canyon, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
106, jungle, terralith:amethyst_canyon, MONSTER, weeping_angels:weeping_angel, 8, 1, 4
107, jungle, terralith:amethyst_canyon, CREATURE, minecraft:sheep, 12, 8, 8
108, jungle, terralith:amethyst_canyon, CREATURE, minecraft:pig, 10, 8, 8
109, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 8, 8
110, jungle, terralith:amethyst_canyon, CREATURE, minecraft:cow, 8, 8, 8
111, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 4, 4
112, jungle, terralith:amethyst_canyon, CREATURE, minecraft:parrot, 40, 1, 2
113, jungle, terralith:amethyst_canyon, CREATURE, minecraft:panda, 5, 1, 2
114, jungle, terralith:amethyst_canyon, CREATURE, clutter:chameleon, 15, 1, 2
115, jungle, terralith:amethyst_canyon, CREATURE, clutter:kiwi_bird, 30, 2, 3
116, jungle, terralith:amethyst_canyon, AMBIENT, minecraft:bat, 10, 8, 8
117, jungle, terralith:amethyst_canyon, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
118, jungle, terralith:amethyst_canyon, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
119, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:spider, 80, 4, 4
120, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie, 80, 4, 4
121, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie_villager, 5, 1, 1
122, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:skeleton, 80, 4, 4
123, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:slime, 80, 4, 4
124, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:enderman, 10, 1, 4
125, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:witch, 5, 1, 1
126, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:ocelot, 5, 1, 3
127, jungle, terralith:amethyst_rainforest, MONSTER, elementalcreepers:cookie_creeper, 5, 1, 2
128, jungle, terralith:amethyst_rainforest, MONSTER, elementalcreepers:dark_creeper, 12, 1, 1
129, jungle, terralith:amethyst_rainforest, MONSTER, elementalcreepers:earth_creeper, 15, 1, 1
130, jungle, terralith:amethyst_rainforest, MONSTER, elementalcreepers:electric_creeper, 7, 1, 1
131, jungle, terralith:amethyst_rainforest, MONSTER, elementalcreepers:firework_creeper, 5, 1, 1
132, jungle, terralith:amethyst_rainforest, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
133, jungle, terralith:amethyst_rainforest, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
134, jungle, terralith:amethyst_rainforest, MONSTER, elementalcreepers:illusion_creeper, 10, 1, 1
135, jungle, terralith:amethyst_rainforest, MONSTER, elementalcreepers:light_creeper, 20, 1, 1
136, jungle, terralith:amethyst_rainforest, MONSTER, elementalcreepers:reverse_creeper, 10, 1, 1
137, jungle, terralith:amethyst_rainforest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
138, jungle, terralith:amethyst_rainforest, MONSTER, weeping_angels:weeping_angel, 8, 1, 4
139, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:sheep, 12, 8, 8
140, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:pig, 10, 8, 8
141, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 8, 8
142, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:cow, 8, 8, 8
143, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 4, 4
144, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:parrot, 40, 1, 2
145, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:panda, 5, 1, 2
146, jungle, terralith:amethyst_rainforest, CREATURE, clutter:chameleon, 15, 1, 2
147, jungle, terralith:amethyst_rainforest, CREATURE, clutter:kiwi_bird, 30, 2, 3
148, jungle, terralith:amethyst_rainforest, AMBIENT, minecraft:bat, 10, 8, 8
149, jungle, terralith:amethyst_rainforest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
150, jungle, terralith:amethyst_rainforest, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
151, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:spider, 80, 4, 4
152, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:zombie, 80, 4, 4
153, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
154, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:skeleton, 80, 4, 4
155, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:creeper, 80, 4, 4
156, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:slime, 80, 4, 4
157, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:enderman, 10, 1, 4
158, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:witch, 5, 1, 1
159, forest, wythers:ancient_copper_beech_forest, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
160, forest, wythers:ancient_copper_beech_forest, MONSTER, enderzoology:infested_zombie, 23, 1, 4
161, forest, wythers:ancient_copper_beech_forest, MONSTER, enderzoology:fallen_knight, 23, 4, 6
162, forest, wythers:ancient_copper_beech_forest, MONSTER, enderzoology:enderminy, 30, 4, 4
163, forest, wythers:ancient_copper_beech_forest, MONSTER, enderzoology:wither_witch, 5, 1, 1
164, forest, wythers:ancient_copper_beech_forest, MONSTER, mythicmobs:chupacabra, 20, 1, 1
165, forest, wythers:ancient_copper_beech_forest, MONSTER, elementalcreepers:cookie_creeper, 5, 1, 2
166, forest, wythers:ancient_copper_beech_forest, MONSTER, elementalcreepers:dark_creeper, 12, 1, 1
167, forest, wythers:ancient_copper_beech_forest, MONSTER, elementalcreepers:earth_creeper, 15, 1, 1
168, forest, wythers:ancient_copper_beech_forest, MONSTER, elementalcreepers:electric_creeper, 7, 1, 1
169, forest, wythers:ancient_copper_beech_forest, MONSTER, elementalcreepers:firework_creeper, 5, 1, 1
170, forest, wythers:ancient_copper_beech_forest, MONSTER, bewitchment:ghost, 20, 1, 1
171, forest, wythers:ancient_copper_beech_forest, MONSTER, graveyard:ghoul, 25, 2, 5
172, forest, wythers:ancient_copper_beech_forest, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
173, forest, wythers:ancient_copper_beech_forest, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
174, forest, wythers:ancient_copper_beech_forest, MONSTER, elementalcreepers:illusion_creeper, 10, 1, 1
175, forest, wythers:ancient_copper_beech_forest, MONSTER, elementalcreepers:light_creeper, 20, 1, 1
176, forest, wythers:ancient_copper_beech_forest, MONSTER, elementalcreepers:reverse_creeper, 10, 1, 1
177, forest, wythers:ancient_copper_beech_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
178, forest, wythers:ancient_copper_beech_forest, MONSTER, weeping_angels:weeping_angel, 8, 1, 4
179, forest, wythers:ancient_copper_beech_forest, MONSTER, bewitchment:werewolf, 20, 1, 1
180, forest, wythers:ancient_copper_beech_forest, CREATURE, minecraft:sheep, 12, 4, 4
181, forest, wythers:ancient_copper_beech_forest, CREATURE, minecraft:pig, 10, 4, 4
182, forest, wythers:ancient_copper_beech_forest, CREATURE, minecraft:chicken, 10, 4, 4
183, forest, wythers:ancient_copper_beech_forest, CREATURE, minecraft:cow, 8, 4, 4
184, forest, wythers:ancient_copper_beech_forest, CREATURE, meadow:brown_bear, 5, 2, 3
185, forest, wythers:ancient_copper_beech_forest, CREATURE, adventurez:deer, 6, 2, 3
186, forest, wythers:ancient_copper_beech_forest, CREATURE, mythicmobs:drake, 5, 1, 4
187, forest, wythers:ancient_copper_beech_forest, CREATURE, mythicmobs:kobold, 10, 3, 6
188, forest, wythers:ancient_copper_beech_forest, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
189, forest, wythers:ancient_copper_beech_forest, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
190, forest, wythers:ancient_copper_beech_forest, CREATURE, bewitchment:owl, 10, 1, 2
191, forest, wythers:ancient_copper_beech_forest, CREATURE, bewitchment:raven, 10, 1, 3
192, forest, wythers:ancient_copper_beech_forest, CREATURE, meadow:wooly_cow, 10, 2, 3
193, forest, wythers:ancient_copper_beech_forest, AMBIENT, minecraft:bat, 10, 8, 8
194, forest, wythers:ancient_copper_beech_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
195, forest, wythers:ancient_copper_beech_forest, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
196, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:spider, 80, 4, 4
197, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie, 80, 4, 4
198, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie_villager, 5, 1, 1
199, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:skeleton, 80, 4, 4
200, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:creeper, 80, 4, 4
201, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:slime, 80, 4, 4
202, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:enderman, 10, 1, 4
203, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:witch, 5, 1, 1
204, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:drowned, 5, 1, 1
205, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:spider, 80, 4, 4
206, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie, 80, 4, 4
207, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie_villager, 5, 1, 1
208, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:skeleton, 80, 4, 4
209, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:creeper, 80, 4, 4
210, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:slime, 80, 4, 4
211, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:enderman, 10, 1, 4
212, private, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:witch, 5, 1, 1
213, private, nyctophobia:ancient_dead_coral_reef, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
214, private, nyctophobia:ancient_dead_coral_reef, MONSTER, enderzoology:infested_zombie, 23, 1, 4
215, private, nyctophobia:ancient_dead_coral_reef, MONSTER, enderzoology:fallen_knight, 23, 4, 6
216, private, nyctophobia:ancient_dead_coral_reef, MONSTER, enderzoology:enderminy, 30, 4, 4
217, private, nyctophobia:ancient_dead_coral_reef, MONSTER, enderzoology:wither_witch, 5, 1, 1
218, private, nyctophobia:ancient_dead_coral_reef, MONSTER, mythicmobs:chupacabra, 20, 1, 1
219, private, nyctophobia:ancient_dead_coral_reef, MONSTER, bewitchment:ghost, 20, 1, 1
220, private, nyctophobia:ancient_dead_coral_reef, MONSTER, graveyard:ghoul, 25, 2, 5
221, private, nyctophobia:ancient_dead_coral_reef, MONSTER, graveyard:nightmare, 10, 1, 1
222, private, nyctophobia:ancient_dead_coral_reef, MONSTER, graveyard:reaper, 5, 2, 3
223, private, nyctophobia:ancient_dead_coral_reef, MONSTER, graveyard:revenant, 25, 5, 8
224, private, nyctophobia:ancient_dead_coral_reef, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
225, private, nyctophobia:ancient_dead_coral_reef, MONSTER, adventurez:soul_reaper, 5, 1, 1
226, private, nyctophobia:ancient_dead_coral_reef, CREATURE, mythicmobs:drake, 5, 1, 4
227, private, nyctophobia:ancient_dead_coral_reef, CREATURE, mythicmobs:kobold, 10, 3, 6
228, private, nyctophobia:ancient_dead_coral_reef, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
229, private, nyctophobia:ancient_dead_coral_reef, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
230, private, nyctophobia:ancient_dead_coral_reef, AMBIENT, minecraft:bat, 10, 8, 8
231, private, nyctophobia:ancient_dead_coral_reef, AMBIENT, minecraft:bat, 10, 8, 8
232, private, nyctophobia:ancient_dead_coral_reef, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
233, private, nyctophobia:ancient_dead_coral_reef, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
234, private, nyctophobia:ancient_dead_coral_reef, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
235, private, nyctophobia:ancient_dead_coral_reef, WATER_CREATURE, minecraft:squid, 5, 1, 4
236, private, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, minecraft:cod, 15, 3, 6
237, private, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
238, private, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, minecraft:pufferfish, 15, 1, 3
239, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:spider, 80, 4, 4
240, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:zombie, 80, 4, 4
241, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
242, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:skeleton, 80, 4, 4
243, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:creeper, 80, 4, 4
244, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:slime, 80, 4, 4
245, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:enderman, 10, 1, 4
246, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:witch, 5, 1, 1
247, forest, wythers:ancient_emerald_beech_forest, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
248, forest, wythers:ancient_emerald_beech_forest, MONSTER, enderzoology:infested_zombie, 23, 1, 4
249, forest, wythers:ancient_emerald_beech_forest, MONSTER, enderzoology:fallen_knight, 23, 4, 6
250, forest, wythers:ancient_emerald_beech_forest, MONSTER, enderzoology:enderminy, 30, 4, 4
251, forest, wythers:ancient_emerald_beech_forest, MONSTER, enderzoology:wither_witch, 5, 1, 1
252, forest, wythers:ancient_emerald_beech_forest, MONSTER, mythicmobs:chupacabra, 20, 1, 1
253, forest, wythers:ancient_emerald_beech_forest, MONSTER, elementalcreepers:cookie_creeper, 5, 1, 2
254, forest, wythers:ancient_emerald_beech_forest, MONSTER, elementalcreepers:dark_creeper, 12, 1, 1
255, forest, wythers:ancient_emerald_beech_forest, MONSTER, elementalcreepers:earth_creeper, 15, 1, 1
256, forest, wythers:ancient_emerald_beech_forest, MONSTER, elementalcreepers:electric_creeper, 7, 1, 1
257, forest, wythers:ancient_emerald_beech_forest, MONSTER, elementalcreepers:firework_creeper, 5, 1, 1
258, forest, wythers:ancient_emerald_beech_forest, MONSTER, bewitchment:ghost, 20, 1, 1
259, forest, wythers:ancient_emerald_beech_forest, MONSTER, graveyard:ghoul, 25, 2, 5
260, forest, wythers:ancient_emerald_beech_forest, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
261, forest, wythers:ancient_emerald_beech_forest, MONSTER, elementalcreepers:hydrogen_creeper, 5, 1, 1
262, forest, wythers:ancient_emerald_beech_forest, MONSTER, elementalcreepers:illusion_creeper, 10, 1, 1
263, forest, wythers:ancient_emerald_beech_forest, MONSTER, elementalcreepers:light_creeper, 20, 1, 1
264, forest, wythers:ancient_emerald_beech_forest, MONSTER, elementalcreepers:reverse_creeper, 10, 1, 1
265, forest, wythers:ancient_emerald_beech_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
266, forest, wythers:ancient_emerald_beech_forest, MONSTER, weeping_angels:weeping_angel, 8, 1, 4
267, forest, wythers:ancient_emerald_beech_forest, MONSTER, bewitchment:werewolf, 20, 1, 1
268, forest, wythers:ancient_emerald_beech_forest, CREATURE, minecraft:sheep, 12, 4, 4
269, forest, wythers:ancient_emerald_beech_forest, CREATURE, minecraft:pig, 10, 4, 4
270, forest, wythers:ancient_emerald_beech_forest, CREATURE, minecraft:chicken, 10, 4, 4
271, forest, wythers:ancient_emerald_beech_forest, CREATURE, minecraft:cow, 8, 4, 4
272, forest, wythers:ancient_emerald_beech_forest, CREATURE, meadow:brown_bear, 5, 2, 3
273, forest, wythers:ancient_emerald_beech_forest, CREATURE, adventurez:deer, 6, 2, 3
274, forest, wythers:ancient_emerald_beech_forest, CREATURE, mythicmobs:drake, 5, 1, 4
275, forest, wythers:ancient_emerald_beech_forest, CREATURE, mythicmobs:kobold, 10, 3, 6
276, forest, wythers:ancient_emerald_beech_forest, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
277, forest, wythers:ancient_emerald_beech_forest, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
278, forest, wythers:ancient_emerald_beech_forest, CREATURE, bewitchment:owl, 10, 1, 2
279, forest, wythers:ancient_emerald_beech_forest, CREATURE, bewitchment:raven, 10, 1, 3
280, forest, wythers:ancient_emerald_beech_forest, CREATURE, meadow:wooly_cow, 10, 2, 3
281, forest, wythers:ancient_emerald_beech_forest, AMBIENT, minecraft:bat, 10, 8, 8
282, forest, wythers:ancient_emerald_beech_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
283, forest, wythers:ancient_emerald_beech_forest, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
284, forest, wythers:ancient_golden_beech_forest, MONSTER, minecraft:spider, 80, 4, 4
285, forest, wythers:ancient_golden_beech_forest, MONSTER, minecraft:zombie, 80, 4, 4
286, forest, wythers:ancient_golden_beech_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
287, forest, wythers:ancient_golden_beech_forest, MONSTER, minecraft:skeleton, 80, 4, 4
288, forest, wythers:ancient_golden_beech_forest, MONSTER, minecraft:creeper, 80, 4, 4
289, forest, wythers:ancient_golden_beech_forest, MONSTER, minecraft:slime, 80, 4, 4
290, forest, wythers:ancient_golden_beech_forest, MONSTER, minecraft:enderman, 10, 1, 4
291, forest, wythers:ancient_golden_beech_forest, MONSTER, minecraft:witch, 5, 1, 1
292, forest, wythers:ancient_golden_beech_forest, MONSTER, enderzoology:concussion_creeper, 25, 4, 4
293, forest, wythers:ancient_golden_beech_forest, MONSTER, enderzoology:infested_zombie, 23, 1, 4
294, forest, wythers:ancient_golden_beech_forest, MONSTER, enderzoology:fallen_knight, 23, 4, 6
295, forest, wythers:ancient_golden_beech_forest, MONSTER, enderzoology:enderminy, 30, 4, 4
296, forest, wythers:ancient_golden_beech_forest, MONSTER, enderzoology:wither_witch, 5, 1, 1
297, forest, wythers:ancient_golden_beech_forest, MONSTER, mythicmobs:chupacabra, 20, 1, 1
