1, structory:dense_forest_ruin, HEADING, header:ignore, 0, 0, 0
41, mvs:nature/floating_islands, HEADING, header:ignore, 0, 0, 0
42, repurposed_structures:monument_nether, HEADING, header:ignore, 0, 0, 0
43, repurposed_structures:monument_nether, MONSTER, minecraft:magma_cube, 20, 1, 3
44, repurposed_structures:monument_nether, MONSTER, minecraft:wither_skeleton, 10, 1, 3
45, repurposed_structures:monument_nether, MONSTER, minecraft:ghast, 5, 1, 1
46, additionalstructures:suspicious_gravel_patch_1, HEADING, header:ignore, 0, 0, 0
47, terralith:zpointer/minecraft_frozen_river, HEADING, header:ignore, 0, 0, 0
48, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
49, towns_and_towers:exclusives/pillager_outpost_mediterranean, HEADING, header:ignore, 0, 0, 0
50, towns_and_towers:exclusives/pillager_outpost_mediterranean, MONSTER, minecraft:pillager, 5, 1, 2
51, subterrestrial:ocean_cabin, HEADING, header:ignore, 0, 0, 0
52, mes:starlight_voyager, HEADING, header:ignore, 0, 0, 0
53, additionalstructures:pyramid_1, HEADING, header:ignore, 0, 0, 0
54, mvs:houses/barn, HEADING, header:ignore, 0, 0, 0
55, terralith:zpointer/terralith_ashen_savanna, HEADING, header:ignore, 0, 0, 0
56, terralith:zpointer/minecraft_deep_ocean, HEADING, header:ignore, 0, 0, 0
57, bakery:oat_field, HEADING, header:ignore, 0, 0, 0
58, bakery:oat_field, CREATURE, minecraft:pig, 5, 1, 4
59, repurposed_structures:temple_nether_crimson, HEADING, header:ignore, 0, 0, 0
60, repurposed_structures:pyramid_badlands, HEADING, header:ignore, 0, 0, 0
61, friendsandfoes:iceologer_cabin, HEADING, header:ignore, 0, 0, 0
62, friendsandfoes:iceologer_cabin, MONSTER, minecraft:pig, 5, 1, 1
63, 1_splatus:endcity_pyramid, HEADING, header:ignore, 0, 0, 0
64, additionalstructures:suspicious_sand_patch_1, HEADING, header:ignore, 0, 0, 0
65, additionalstructures:fallen_spruce_tree_2, HEADING, header:ignore, 0, 0, 0
66, graveyard:lich_prison, HEADING, header:ignore, 0, 0, 0
67, evenbetterarcheology:temple_jungle, HEADING, header:ignore, 0, 0, 0
68, mvs:other_decoration/wooden_wheat_farm, HEADING, header:ignore, 0, 0, 0
69, terralith:zpointer/minecraft_snowy_plains, HEADING, header:ignore, 0, 0, 0
70, dungeons_arise:infested_temple, HEADING, header:ignore, 0, 0, 0
71, scorched:badlands_well, HEADING, header:ignore, 0, 0, 0
72, mvs:lantern/small_oak_lantern, HEADING, header:ignore, 0, 0, 0
73, ctov:small/village_mesa, HEADING, header:ignore, 0, 0, 0
74, betternether:nether_city, HEADING, header:ignore, 0, 0, 0
75, towns_and_towers:village_wooded_badlands, HEADING, header:ignore, 0, 0, 0
76, mvs:other_decoration/windmill, HEADING, header:ignore, 0, 0, 0
77, repurposed_structures:pyramid_dark_forest, HEADING, header:ignore, 0, 0, 0
78, soulsweapons:decaying_kingdom, HEADING, header:ignore, 0, 0, 0
79, towns_and_towers:village_swamp, HEADING, header:ignore, 0, 0, 0
80, repurposed_structures:mineshaft_warped, HEADING, header:ignore, 0, 0, 0
81, structory_towers:engineer_tower, HEADING, header:ignore, 0, 0, 0
82, mvs:other_decoration/wheat_grain_bin, HEADING, header:ignore, 0, 0, 0
83, formationsoverworld:mesoamerican_temple, HEADING, header:ignore, 0, 0, 0
84, towns_and_towers:village_badlands, HEADING, header:ignore, 0, 0, 0
85, red:beach_house, HEADING, header:ignore, 0, 0, 0
86, additionalstructures:suspicious_sand_patch_3, HEADING, header:ignore, 0, 0, 0
87, additionalstructures:bush_4, HEADING, header:ignore, 0, 0, 0
88, terralith:zpointer/terralith_volcanic_peaks, HEADING, header:ignore, 0, 0, 0
89, graveyard:medium_graveyard, HEADING, header:ignore, 0, 0, 0
90, graveyard:medium_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
91, graveyard:medium_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
92, graveyard:medium_graveyard, MONSTER, graveyard:ghoul, 50, 2, 4
93, mvs:well/wells/nether_well, HEADING, header:ignore, 0, 0, 0
94, repurposed_structures:outpost_mangrove, HEADING, header:ignore, 0, 0, 0
95, repurposed_structures:outpost_mangrove, MONSTER, minecraft:pillager, 10, 1, 1
96, additionalstructures:temple_1, HEADING, header:ignore, 0, 0, 0
97, mvs:well/wells/snowy_well, HEADING, header:ignore, 0, 0, 0
98, repurposed_structures:pyramid_jungle, HEADING, header:ignore, 0, 0, 0
99, additionalstructures:oak_log_2, HEADING, header:ignore, 0, 0, 0
100, mvs:well/small_copper_well, HEADING, header:ignore, 0, 0, 0
101, towns_and_towers:exclusives/pillager_outpost_swedish, HEADING, header:ignore, 0, 0, 0
102, towns_and_towers:exclusives/pillager_outpost_swedish, MONSTER, minecraft:pillager, 5, 1, 2
103, terralith:spire, HEADING, header:ignore, 0, 0, 0
104, mvs:nature/jungle_tree, HEADING, header:ignore, 0, 0, 0
105, additionalstructures:damaged_mushroom_1, HEADING, header:ignore, 0, 0, 0
106, ctov:small/village_savanna, HEADING, header:ignore, 0, 0, 0
107, towns_and_towers:exclusives/village_tudor, HEADING, header:ignore, 0, 0, 0
108, watching:logless_tree/birch, HEADING, header:ignore, 0, 0, 0
109, watching:torch_cave, HEADING, header:ignore, 0, 0, 0
110, formationsnether:rib_cage, HEADING, header:ignore, 0, 0, 0
111, mvs:houses/warped_house, HEADING, header:ignore, 0, 0, 0
112, towns_and_towers:pillager_outpost_beach, HEADING, header:ignore, 0, 0, 0
113, towns_and_towers:pillager_outpost_beach, MONSTER, minecraft:pillager, 5, 1, 2
114, mvs:log_pile/birch_log_pile, HEADING, header:ignore, 0, 0, 0
115, watching:leafless_grove, HEADING, header:ignore, 0, 0, 0
116, additionalstructures:mushroom_house_2, HEADING, header:ignore, 0, 0, 0
117, nova_structures:well_oak, HEADING, header:ignore, 0, 0, 0
118, towns_and_towers:pillager_outpost_snowy_slopes, HEADING, header:ignore, 0, 0, 0
119, towns_and_towers:pillager_outpost_snowy_slopes, MONSTER, minecraft:pillager, 5, 1, 2
120, betterend:end_village, HEADING, header:ignore, 0, 0, 0
121, wythers:baobab_savanna, HEADING, header:ignore, 0, 0, 0
122, wythers:baobab_savanna, CREATURE, minecraft:parrot, 40, 3, 5
123, mvs:nature/paths, HEADING, header:ignore, 0, 0, 0
124, nova_structures:firewatch_tower_dark_oak, HEADING, header:ignore, 0, 0, 0
125, towns_and_towers:village_jungle, HEADING, header:ignore, 0, 0, 0
126, mvs:nature/oak_tree, HEADING, header:ignore, 0, 0, 0
127, towns_and_towers:pillager_outpost_swamp, HEADING, header:ignore, 0, 0, 0
128, towns_and_towers:pillager_outpost_swamp, MONSTER, minecraft:pillager, 5, 1, 2
129, imst:observatory, HEADING, header:ignore, 0, 0, 0
130, terralith:zpointer/minecraft_jagged_peaks, HEADING, header:ignore, 0, 0, 0
131, mvs:stall/blue_stall, HEADING, header:ignore, 0, 0, 0
132, illagerinvasion:illager_fort, HEADING, header:ignore, 0, 0, 0
133, illagerinvasion:illager_fort, MONSTER, minecraft:pillager, 30, 1, 1
134, illagerinvasion:illager_fort, MONSTER, illagerinvasion:marauder, 30, 1, 1
135, illagerinvasion:illager_fort, MONSTER, illagerinvasion:basher, 5, 1, 1
136, illagerinvasion:illager_fort, MONSTER, illagerinvasion:provoker, 30, 1, 1
137, additionalstructures:villager_house_3, HEADING, header:ignore, 0, 0, 0
138, terralith:zpointer/terralith_siberian_grove, HEADING, header:ignore, 0, 0, 0
139, mvs:well/small_well, HEADING, header:ignore, 0, 0, 0
140, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
141, additionalstructures:bush_3, HEADING, header:ignore, 0, 0, 0
142, terralith:zpointer/minecraft_sparse_jungle, HEADING, header:ignore, 0, 0, 0
143, terralith:zpointer/minecraft_old_growth_spruce_taiga, HEADING, header:ignore, 0, 0, 0
144, joshie:libraries/normal, HEADING, header:ignore, 0, 0, 0
145, dungeons_arise:plague_asylum, HEADING, header:ignore, 0, 0, 0
146, mvs:other_decoration/stone_bee, HEADING, header:ignore, 0, 0, 0
147, dungeons_arise:illager_windmill, HEADING, header:ignore, 0, 0, 0
148, additionalstructures:desert_pillars_1, HEADING, header:ignore, 0, 0, 0
149, repurposed_structures:mansion_savanna, HEADING, header:ignore, 0, 0, 0
150, aftershock:granite_egg, HEADING, header:ignore, 0, 0, 0
151, formationsnether:quartz_spikes, HEADING, header:ignore, 0, 0, 0
152, additionalstructures:obsidian_tree_3, HEADING, header:ignore, 0, 0, 0
153, additionalstructures:damaged_mushroom_2, HEADING, header:ignore, 0, 0, 0
154, additionalstructures:dead_tree_2, HEADING, header:ignore, 0, 0, 0
155, formationsnether:small_pedestal, HEADING, header:ignore, 0, 0, 0
156, graveyard:small_grave, HEADING, header:ignore, 0, 0, 0
157, watching:mossy_pyramid, HEADING, header:ignore, 0, 0, 0
158, skeletalremains:clockchurch, HEADING, header:ignore, 0, 0, 0
159, skeletalremains:clockchurch, MONSTER, skeletalremains:fallenskeleton, 5, 1, 5
160, imst:bandit_camp, HEADING, header:ignore, 0, 0, 0
161, imst:bandit_camp, MONSTER, minecraft:pillager, 5, 1, 1
162, evenbetterarcheology:desert_obelisk, HEADING, header:ignore, 0, 0, 0
163, additionalstructures:desert_tomb_1, HEADING, header:ignore, 0, 0, 0
164, additionalstructures:desert_tomb_1, MONSTER, minecraft:husk, 5, 2, 4
165, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
166, watching:torch_tunnel/1x2/torchless_tunnel, HEADING, header:ignore, 0, 0, 0
167, mvs:shed, HEADING, header:ignore, 0, 0, 0
168, scorched:desert_well, HEADING, header:ignore, 0, 0, 0
169, repurposed_structures:mineshaft_icy, HEADING, header:ignore, 0, 0, 0
170, additionalstructures:spruce_log_1, HEADING, header:ignore, 0, 0, 0
171, ctov:large/village_beach, HEADING, header:ignore, 0, 0, 0
172, terralith:zpointer/terralith_lush_valley, HEADING, header:ignore, 0, 0, 0
173, terralith:zpointer/terralith_haze_mountain, HEADING, header:ignore, 0, 0, 0
174, terralith:zpointer/minecraft_old_growth_pine_taiga, HEADING, header:ignore, 0, 0, 0
175, formationsoverworld:small_statue, HEADING, header:ignore, 0, 0, 0
176, terralith:zpointer/terralith_scarlet_mountains, HEADING, header:ignore, 0, 0, 0
177, repurposed_structures:witch_hut_dark_forest, HEADING, header:ignore, 0, 0, 0
178, repurposed_structures:witch_hut_dark_forest, MONSTER, minecraft:witch, 5, 1, 1
179, repurposed_structures:witch_hut_dark_forest, CREATURE, minecraft:cat, 5, 1, 1
180, terralith:zpointer/terralith_temperate_highlands, HEADING, header:ignore, 0, 0, 0
181, repurposed_structures:mansion_birch, HEADING, header:ignore, 0, 0, 0
182, terralith:zpointer/terralith_shrubland, HEADING, header:ignore, 0, 0, 0
183, ad_astra:venus_bullet, HEADING, header:ignore, 0, 0, 0
184, terralith:zpointer/terralith_painted_mountains, HEADING, header:ignore, 0, 0, 0
185, imst:lumberjack/birch_hut, HEADING, header:ignore, 0, 0, 0
186, imst:berry_house, HEADING, header:ignore, 0, 0, 0
187, terralith:zpointer/minecraft_savanna, HEADING, header:ignore, 0, 0, 0
188, structory:firetower, HEADING, header:ignore, 0, 0, 0
189, repurposed_structures:mineshaft_taiga, HEADING, header:ignore, 0, 0, 0
190, terralith:zpointer/minecraft_windswept_hills, HEADING, header:ignore, 0, 0, 0
191, explorify:watchtower_taiga, HEADING, header:ignore, 0, 0, 0
192, mvs:dead_tree/acacia, HEADING, header:ignore, 0, 0, 0
193, additionalstructures:ruin_1, HEADING, header:ignore, 0, 0, 0
194, evenbetterarcheology:stonehenge_grassy, HEADING, header:ignore, 0, 0, 0
195, additionalstructures:meteor, HEADING, header:ignore, 0, 0, 0
196, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
197, additionalstructures:log_bundle, HEADING, header:ignore, 0, 0, 0
198, watching:redstone_torch_trail, HEADING, header:ignore, 0, 0, 0
199, towns_and_towers:pillager_outpost_jungle, HEADING, header:ignore, 0, 0, 0
200, towns_and_towers:pillager_outpost_jungle, MONSTER, minecraft:pillager, 5, 1, 2
201, betternether:altars, HEADING, header:ignore, 0, 0, 0
202, ctov:large/village_plains, HEADING, header:ignore, 0, 0, 0
203, towns_and_towers:exclusives/village_wandering_trader_camp, HEADING, header:ignore, 0, 0, 0
204, repurposed_structures:pyramid_end, HEADING, header:ignore, 0, 0, 0
205, imst:mountain_camp, HEADING, header:ignore, 0, 0, 0
206, terralith:zpointer/terralith_yellowstone, HEADING, header:ignore, 0, 0, 0
207, towns_and_towers:exclusives/village_classic, HEADING, header:ignore, 0, 0, 0
208, terralith:zpointer/terralith_glacial_chasm, HEADING, header:ignore, 0, 0, 0
209, additionalstructures:oasis_2, HEADING, header:ignore, 0, 0, 0
210, repurposed_structures:stronghold_nether, HEADING, header:ignore, 0, 0, 0
211, repurposed_structures:stronghold_nether, MONSTER, minecraft:blaze, 10, 2, 3
212, repurposed_structures:stronghold_nether, MONSTER, minecraft:zombified_piglin, 30, 4, 4
213, repurposed_structures:stronghold_nether, MONSTER, minecraft:wither_skeleton, 10, 5, 5
214, repurposed_structures:stronghold_nether, MONSTER, minecraft:skeleton, 20, 5, 5
215, repurposed_structures:stronghold_nether, MONSTER, minecraft:magma_cube, 30, 4, 4
216, dungeons_arise:typhon, HEADING, header:ignore, 0, 0, 0
217, additionalstructures:villager_house_2, HEADING, header:ignore, 0, 0, 0
218, mvs:stone_fountain, HEADING, header:ignore, 0, 0, 0
219, formationsoverworld:hobbit_hole, HEADING, header:ignore, 0, 0, 0
220, terralith:zpointer/minecraft_frozen_ocean, HEADING, header:ignore, 0, 0, 0
221, ctov:large/village_taiga, HEADING, header:ignore, 0, 0, 0
222, towns_and_towers:exclusives/village_iberian, HEADING, header:ignore, 0, 0, 0
223, additionalstructures:pillar_ruin_2, HEADING, header:ignore, 0, 0, 0
224, imst:lumberjack/spruce_hut, HEADING, header:ignore, 0, 0, 0
225, nova_structures:firewatch_tower_taiga, HEADING, header:ignore, 0, 0, 0
226, towns_and_towers:pillager_outpost_ocean, HEADING, header:ignore, 0, 0, 0
227, towns_and_towers:pillager_outpost_ocean, MONSTER, minecraft:pillager, 5, 1, 2
228, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
229, evenbetterarcheology:archeologist_camp_redsand, HEADING, header:ignore, 0, 0, 0
230, terralith:underground_cabin, HEADING, header:ignore, 0, 0, 0
231, graveyard:ruins, HEADING, header:ignore, 0, 0, 0
232, graveyard:ruins, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
233, graveyard:ruins, MONSTER, graveyard:revenant, 45, 1, 3
234, graveyard:ruins, MONSTER, graveyard:ghoul, 50, 1, 2
235, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
236, mvs:lantern/small_birch_lantern, HEADING, header:ignore, 0, 0, 0
237, mvs:houses/large_floating_island, HEADING, header:ignore, 0, 0, 0
238, structory:swamp_ruin, HEADING, header:ignore, 0, 0, 0
239, ctov:small/village_desert, HEADING, header:ignore, 0, 0, 0
240, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
241, additionalstructures:standing_acacia_log, HEADING, header:ignore, 0, 0, 0
242, formationsoverworld:tiny_house, HEADING, header:ignore, 0, 0, 0
243, mvs:nature/dark_oak_tree, HEADING, header:ignore, 0, 0, 0
244, towns_and_towers:village_meadow, HEADING, header:ignore, 0, 0, 0
245, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
246, terralith:zpointer/minecraft_beach, HEADING, header:ignore, 0, 0, 0
247, terralith:zpointer/minecraft_windswept_savanna, HEADING, header:ignore, 0, 0, 0
248, mvs:houses/deepslate_house, HEADING, header:ignore, 0, 0, 0
249, terralith:zpointer/minecraft_snowy_slopes, HEADING, header:ignore, 0, 0, 0
250, additionalstructures:villager_house_4, HEADING, header:ignore, 0, 0, 0
251, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
252, additionalstructures:flotsam_3, HEADING, header:ignore, 0, 0, 0
253, meadow:chapel, HEADING, header:ignore, 0, 0, 0
254, terralith:zpointer/minecraft_windswept_gravelly_hills, HEADING, header:ignore, 0, 0, 0
255, repurposed_structures:outpost_crimson, HEADING, header:ignore, 0, 0, 0
256, repurposed_structures:outpost_crimson, MONSTER, minecraft:piglin, 10, 1, 1
257, weeping_angels:catacombs, HEADING, header:ignore, 0, 0, 0
258, weeping_angels:catacombs, MONSTER, minecraft:pig, 30, 1, 4
259, betternether:jungle_temples, HEADING, header:ignore, 0, 0, 0
260, repurposed_structures:ancient_city_end, HEADING, header:ignore, 0, 0, 0
261, repurposed_structures:ancient_city_end, MONSTER, minecraft:phantom, 30, 1, 1
262, repurposed_structures:ancient_city_end, MONSTER, minecraft:endermite, 20, 3, 7
263, numis_arch:end_temple, HEADING, header:ignore, 0, 0, 0
264, nova_structures:well_savana, HEADING, header:ignore, 0, 0, 0
265, red:patheon, HEADING, header:ignore, 0, 0, 0
266, formationsnether:large_tree, HEADING, header:ignore, 0, 0, 0
267, additionalstructures:villager_statue_5, HEADING, header:ignore, 0, 0, 0
268, additionalstructures:ice_floes_1, HEADING, header:ignore, 0, 0, 0
269, subterrestrial:jungle_cabin, HEADING, header:ignore, 0, 0, 0
270, repurposed_structures:mineshaft_end, HEADING, header:ignore, 0, 0, 0
271, repurposed_structures:mineshaft_end, MONSTER, minecraft:endermite, 10, 2, 5
272, repurposed_structures:mineshaft_end, MONSTER, minecraft:enderman, 5, 1, 3
273, mvs:log_pile/jungle_log_pile, HEADING, header:ignore, 0, 0, 0
274, additionalstructures:silverfish_cluster_1, HEADING, header:ignore, 0, 0, 0
275, formationsnether:nether_wart_field, HEADING, header:ignore, 0, 0, 0
276, mvs:stall/red_stall, HEADING, header:ignore, 0, 0, 0
277, dungeons_arise:keep_kayra, HEADING, header:ignore, 0, 0, 0
278, soulsweapons:champions_graves, HEADING, header:ignore, 0, 0, 0
279, structory:taiga_ruin_surface, HEADING, header:ignore, 0, 0, 0
280, red:swamp_pillager, HEADING, header:ignore, 0, 0, 0
281, nova_structures:jungle_ruins, HEADING, header:ignore, 0, 0, 0
282, dungeons_arise:illager_corsair, HEADING, header:ignore, 0, 0, 0
283, imst:lumberjack/oak_hut, HEADING, header:ignore, 0, 0, 0
284, mvs:carts/cart, HEADING, header:ignore, 0, 0, 0
285, mvs:well/wells/rocky_well, HEADING, header:ignore, 0, 0, 0
286, meadow:chalet, HEADING, header:ignore, 0, 0, 0
287, nova_structures:village_jungle, HEADING, header:ignore, 0, 0, 0
288, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
289, imst:lumberjack/mangrove_hut, HEADING, header:ignore, 0, 0, 0
290, towns_and_towers:exclusives/village_nilotic, HEADING, header:ignore, 0, 0, 0
291, additionalstructures:flotsam_4, HEADING, header:ignore, 0, 0, 0
292, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
293, dungeons_arise:merchant_campsite, HEADING, header:ignore, 0, 0, 0
294, terralith:zpointer/terralith_ice_marsh, HEADING, header:ignore, 0, 0, 0
295, ctov:pillager_outpost_dark_forest, HEADING, header:ignore, 0, 0, 0
296, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:pillager, 5, 1, 1
297, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:evoker, 5, 1, 1
298, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:vindicator, 20, 1, 1
299, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:witch, 20, 1, 1
300, repurposed_structures:pyramid_ocean, HEADING, header:ignore, 0, 0, 0
301, imst:desert_well, HEADING, header:ignore, 0, 0, 0
302, explorify:mausoleum, HEADING, header:ignore, 0, 0, 0
303, scorched:desert_pyramid, HEADING, header:ignore, 0, 0, 0
304, additionalstructures:bush_2, HEADING, header:ignore, 0, 0, 0
305, simply_houses:forest_stonemason, HEADING, header:ignore, 0, 0, 0
306, terralith:zpointer/terralith_stony_spires, HEADING, header:ignore, 0, 0, 0
307, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
308, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
309, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
310, evenbetterarcheology:fossil_creeper, HEADING, header:ignore, 0, 0, 0
311, evenbetterarcheology:fossil_jungle_0, HEADING, header:ignore, 0, 0, 0
312, structory_towers:small_firetower, HEADING, header:ignore, 0, 0, 0
313, formationsnether:campsite, HEADING, header:ignore, 0, 0, 0
314, additionalstructures:skeleton_skull, HEADING, header:ignore, 0, 0, 0
315, additionalstructures:desert_pillars_2, HEADING, header:ignore, 0, 0, 0
316, mes:astral_hideaway, HEADING, header:ignore, 0, 0, 0
317, evenbetterarcheology:underwater_0, HEADING, header:ignore, 0, 0, 0
318, red:statue, HEADING, header:ignore, 0, 0, 0
319, species:wraptor_coop, HEADING, header:ignore, 0, 0, 0
320, dungeons_arise:heavenly_rider, HEADING, header:ignore, 0, 0, 0
321, repurposed_structures:outpost_jungle, HEADING, header:ignore, 0, 0, 0
322, repurposed_structures:outpost_jungle, MONSTER, minecraft:pillager, 10, 1, 1
323, repurposed_structures:outpost_desert, HEADING, header:ignore, 0, 0, 0
324, repurposed_structures:outpost_desert, MONSTER, minecraft:pillager, 10, 1, 1
325, terralith:zpointer/minecraft_cold_ocean, HEADING, header:ignore, 0, 0, 0
326, towns_and_towers:pillager_outpost_sparse_jungle, HEADING, header:ignore, 0, 0, 0
327, towns_and_towers:pillager_outpost_sparse_jungle, MONSTER, minecraft:pillager, 5, 1, 2
328, mvs:nature/small_oak_pond, HEADING, header:ignore, 0, 0, 0
329, mvs:dead_tree/cherry, HEADING, header:ignore, 0, 0, 0
330, terralith:zpointer/terralith_amethyst_canyon, HEADING, header:ignore, 0, 0, 0
331, towns_and_towers:pillager_outpost_wooded_badlands, HEADING, header:ignore, 0, 0, 0
332, towns_and_towers:pillager_outpost_wooded_badlands, MONSTER, minecraft:pillager, 5, 1, 2
333, red:snowy_oracle, HEADING, header:ignore, 0, 0, 0
334, additionalstructures:temple_2, HEADING, header:ignore, 0, 0, 0
335, terralith:zpointer/terralith_birch_taiga, HEADING, header:ignore, 0, 0, 0
336, additionalstructures:obsidian_spike_3, HEADING, header:ignore, 0, 0, 0
337, repurposed_structures:witch_hut_oak, HEADING, header:ignore, 0, 0, 0
338, repurposed_structures:witch_hut_oak, MONSTER, minecraft:witch, 5, 1, 1
339, repurposed_structures:witch_hut_oak, CREATURE, minecraft:cat, 5, 1, 1
340, supplementaries:way_sign, HEADING, header:ignore, 0, 0, 0
341, additionalstructures:wither_skull, HEADING, header:ignore, 0, 0, 0
342, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
343, terralith:zpointer/terralith_forested_highlands, HEADING, header:ignore, 0, 0, 0
344, towns_and_towers:pillager_outpost_snowy_taiga, HEADING, header:ignore, 0, 0, 0
345, towns_and_towers:pillager_outpost_snowy_taiga, MONSTER, minecraft:pillager, 5, 1, 2
346, nova_structures:piglin_outstation, HEADING, header:ignore, 0, 0, 0
347, nova_structures:piglin_outstation, MONSTER, minecraft:piglin, 5, 1, 1
348, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
349, additionalstructures:tomb_4, HEADING, header:ignore, 0, 0, 0
350, additionalstructures:stone_rock_1, HEADING, header:ignore, 0, 0, 0
351, additionalstructures:standing_oak_log, HEADING, header:ignore, 0, 0, 0
352, formationsoverworld:large_temple, HEADING, header:ignore, 0, 0, 0
353, terralith:zpointer/terralith_gravel_desert, HEADING, header:ignore, 0, 0, 0
354, towns_and_towers:village_grove, HEADING, header:ignore, 0, 0, 0
355, terralith:zpointer/terralith_savanna_slopes, HEADING, header:ignore, 0, 0, 0
356, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
357, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
358, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
359, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
360, minecraft:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
361, minecraft:fortress, MONSTER, minecraft:magma_cube, 30, 4, 4
362, repurposed_structures:pyramid_icy, HEADING, header:ignore, 0, 0, 0
363, nova_structures:illager_hideout, HEADING, header:ignore, 0, 0, 0
364, repurposed_structures:village_oak, HEADING, header:ignore, 0, 0, 0
365, mvs:dead_tree/mangrove, HEADING, header:ignore, 0, 0, 0
